asset_id,asset_type,business_unit,business_criticality,high_risk_probability,predicted_risk_tier,model_confidence,anomaly_flag,anomaly_score,attack_techniques,correlated_signals,signal_convergence_count,threat_priority_score,threat_priority_tier,analyst_actions,evidence_context,generated_at
LHT-Asset-212,firewall,identity_services,5,0.9999,Critical,High,Yes,-0.0492,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,6,100,Critical,Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision,Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.187480+00:00
LHT-Asset-048,application_server,security_operations,4,0.9998,Critical,High,No,0.0113,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; High vulnerability exposure; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.169601+00:00
LHT-Asset-144,domain_controller,network_services,4,0.9998,Critical,High,Yes,-0.0183,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High-severity network alert volume; Reduced control effectiveness; Elevated residual risk,6,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Validate alert source, destination, and firewall evidence; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.180544+00:00
LHT-Asset-178,windows_server,security_operations,3,0.9997,Critical,High,Yes,-0.0409,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated residual risk,6,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.184039+00:00
LHT-Asset-174,workstation,finance_operations,4,0.9996,Critical,High,No,0.0426,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Reduced control effectiveness; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.183641+00:00
LHT-Asset-223,firewall,network_services,3,0.9992,Critical,High,Yes,-0.0088,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High-severity network alert volume; High vulnerability exposure; Reduced control effectiveness; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.188584+00:00
LHT-Asset-068,domain_controller,identity_services,2,0.999,Critical,High,No,0.0109,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Reduced control effectiveness; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.171691+00:00
LHT-Asset-210,siem_server,finance_operations,4,0.999,Critical,High,No,0.0405,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; High vulnerability exposure; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.187275+00:00
LHT-Asset-063,domain_controller,business_applications,5,0.9987,Critical,High,No,0.0028,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High-severity network alert volume; High vulnerability exposure; Elevated residual risk,6,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.171166+00:00
LHT-Asset-106,siem_server,business_applications,5,0.9987,Critical,High,No,0.0354,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure,6,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.175704+00:00
LHT-Asset-217,windows_server,finance_operations,1,0.9985,Critical,High,Yes,-0.0158,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High-severity network alert volume; Elevated firewall-policy exposure; High vulnerability exposure; Reduced control effectiveness; Elevated residual risk,8,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.187974+00:00
LHT-Asset-103,domain_controller,identity_services,3,0.9984,Critical,High,Yes,-0.0113,T1110 Brute Force; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Reduced control effectiveness; Elevated residual risk,6,100,Critical,"Review authentication pattern and MFA evidence; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.175382+00:00
LHT-Asset-052,windows_server,business_applications,5,0.9983,Critical,High,No,0.0289,T1110 Brute Force; T1098 Account Manipulation; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; High-severity network alert volume; Elevated firewall-policy exposure; Reduced control effectiveness,5,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.170021+00:00
LHT-Asset-113,firewall,identity_services,3,0.9975,Critical,High,Yes,-0.0072,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated residual risk,6,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.176440+00:00
LHT-Asset-010,workstation,business_applications,5,0.9974,Critical,High,No,0.0314,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High-severity network alert volume; Elevated firewall-policy exposure; High vulnerability exposure; Reduced control effectiveness,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.165601+00:00
LHT-Asset-136,linux_server,finance_operations,4,0.9973,Critical,High,Yes,-0.0025,T1110 Brute Force; T1098 Account Manipulation; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; High-severity network alert volume; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,6,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.179721+00:00
LHT-Asset-135,linux_server,network_services,1,0.9955,Critical,High,Yes,-0.0008,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; High vulnerability exposure; Reduced control effectiveness; Elevated residual risk,8,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.179620+00:00
LHT-Asset-201,windows_server,finance_operations,4,0.9953,Critical,High,No,0.0048,T1110 Brute Force; T1098 Account Manipulation; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; High attack-path exposure; High-severity network alert volume; Elevated residual risk,5,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.186378+00:00
LHT-Asset-232,firewall,security_operations,4,0.9952,Critical,High,No,0.0076,T1110 Brute Force; T1098 Account Manipulation; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; High attack-path exposure; High-severity network alert volume; Reduced control effectiveness,5,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review control-validation failures and remediation owner",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.189591+00:00
LHT-Asset-033,firewall,network_services,2,0.9944,Critical,High,Yes,-0.0139,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High-severity network alert volume; High vulnerability exposure; Reduced control effectiveness; Elevated residual risk,7,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner; Prioritize risk-treatment decision",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.168005+00:00
LHT-Asset-124,domain_controller,finance_operations,5,0.9944,Critical,High,Yes,-0.0123,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; Elevated firewall-policy exposure; Reduced control effectiveness,5,100,Critical,Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner,Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.177643+00:00
LHT-Asset-092,firewall,business_applications,5,0.9938,Critical,High,No,0.037,T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1190 Exploit Public-Facing Application,Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Elevated firewall-policy exposure; Reduced control effectiveness,6,100,Critical,"Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.174239+00:00
LHT-Asset-240,linux_server,identity_services,1,0.9936,Critical,High,Yes,-0.0636,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,7,100,Critical,Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision,Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.190401+00:00
LHT-Asset-021,application_server,finance_operations,5,0.9918,Critical,High,No,0.0582,T1098 Account Manipulation; T1021 Remote Services; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated privileged-group changes; High attack-path exposure; High-severity network alert volume; High vulnerability exposure; Reduced control effectiveness,5,100,Critical,"Validate authorization and privilege blast radius; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.166759+00:00
LHT-Asset-105,firewall,identity_services,5,0.9915,Critical,High,No,0.039,T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; High vulnerability exposure; Reduced control effectiveness,5,100,Critical,"Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.175599+00:00
LHT-Asset-038,siem_server,network_services,4,0.9912,Critical,High,No,0.0513,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; Reduced control effectiveness,6,100,Critical,"Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Review control-validation failures and remediation owner",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.168524+00:00
LHT-Asset-119,firewall,security_operations,2,0.9912,Critical,High,Yes,-0.0299,T1110 Brute Force; T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1190 Exploit Public-Facing Application,Elevated failed logons; Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; Elevated firewall-policy exposure; Reduced control effectiveness; Elevated residual risk,7,100,Critical,Review authentication pattern and MFA evidence; Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Review exposed services and firewall-rule justification; Review control-validation failures and remediation owner; Prioritize risk-treatment decision,Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.177066+00:00
LHT-Asset-009,linux_server,identity_services,4,0.9849,Critical,High,No,0.0635,T1098 Account Manipulation; T1059.001 PowerShell; T1021 Remote Services; T1046 Network Service Discovery; T1210 Exploitation of Remote Services,Elevated privileged-group changes; Elevated suspicious PowerShell activity; High attack-path exposure; High-severity network alert volume; High vulnerability exposure; Reduced control effectiveness,6,100,Critical,"Validate authorization and privilege blast radius; Review endpoint command and parent-process telemetry; Review reachable administrative paths and segmentation; Validate alert source, destination, and firewall evidence; Validate patch status, exploitability, and reachability; Review control-validation failures and remediation owner",Identity telemetry; endpoint telemetry; network telemetry; attack-path analysis; control validation; remediation scoring,2026-07-06T09:16:36.165493+00:00
